Date : 2020-03-06 14:54:19
Directory : c:\Users\tadak\source\repos\XYZ-To-Do
Total : 533 files,  64140 codes, 4942 comments, 7048 blanks, all 76130 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\project\projects\project-to-dos\project-to-dos.component.ts                                                                                              | TypeScript         |        968 |         66 |        218 |      1,252 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\project\projects\projects.component.css                                                                                                                  | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\project\projects\projects.component.html                                                                                                                 | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\project\projects\projects.component.spec.ts                                                                                                              | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\project\projects\projects.component.ts                                                                                                                   | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\team.module.ts                                                                                                                                      | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\incoming-invitations\incoming-invitations.component.css                                                                                       | CSS                |         26 |          0 |          0 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\incoming-invitations\incoming-invitations.component.html                                                                                      | HTML               |         86 |         10 |          7 |        103 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\incoming-invitations\incoming-invitations.component.spec.ts                                                                                   | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\incoming-invitations\incoming-invitations.component.ts                                                                                        | TypeScript         |         45 |          6 |          9 |         60 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\my-teams\my-teams.component.css                                                                                                               | CSS                |         74 |          0 |          8 |         82 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\my-teams\my-teams.component.html                                                                                                              | HTML               |        121 |          7 |         14 |        142 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\my-teams\my-teams.component.spec.ts                                                                                                           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\my-teams\my-teams.component.ts                                                                                                                | TypeScript         |        142 |          6 |         25 |        173 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\team-members\team-members.component.css                                                                                                       | CSS                |         68 |          0 |          5 |         73 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\team-members\team-members.component.html                                                                                                      | HTML               |        184 |          7 |         23 |        214 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\team-members\team-members.component.spec.ts                                                                                                   | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\team\teams\team-members\team-members.component.ts                                                                                                        | TypeScript         |        140 |         35 |         36 |        211 |
