Date : 2020-03-06 14:54:19
Directory : c:\Users\tadak\source\repos\XYZ-To-Do
Total : 533 files,  64140 codes, 4942 comments, 7048 blanks, all 76130 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\tadak\source\repos\XYZ-To-Do\bin\Debug\netcoreapp2.0\XYZToDo.runtimeconfig.json                                                                                                               | JSON               |         12 |          0 |          0 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\e2e\protractor.conf.js                                                                                                                                           | JavaScript         |         24 |          2 |          2 |         28 |
| c:\Users\tadak\source\repos\XYZ-To-Do\e2e\src\app.e2e-spec.ts                                                                                                                                          | TypeScript         |         18 |          1 |          5 |         24 |
| c:\Users\tadak\source\repos\XYZ-To-Do\e2e\src\app.po.ts                                                                                                                                                | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\e2e\tsconfig.e2e.json                                                                                                                                            | JSON               |         13 |          0 |          0 |         13 |
| c:\Users\tadak\source\repos\XYZ-To-Do\obj\Debug\netcoreapp2.0\XYZToDo.AssemblyInfo.cs                                                                                                                  | C#                 |          9 |         10 |          5 |         24 |
| c:\Users\tadak\source\repos\XYZ-To-Do\obj\Debug\netcoreapp2.0\project.razor.json                                                                                                                       | JSON               |      2,748 |          0 |          0 |      2,748 |
| c:\Users\tadak\source\repos\XYZ-To-Do\obj\XYZToDo.csproj.nuget.g.props                                                                                                                                 | XML                |         18 |          0 |          0 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\obj\XYZToDo.csproj.nuget.g.targets                                                                                                                               | XML                |         13 |          0 |          0 |         13 |
| c:\Users\tadak\source\repos\XYZ-To-Do\obj\project.assets.json                                                                                                                                          | JSON               |     12,638 |          0 |          0 |     12,638 |
| c:\Users\tadak\source\repos\XYZ-To-Do\package-lock.json                                                                                                                                                | JSON               |     10,730 |          0 |          1 |     10,731 |
| c:\Users\tadak\source\repos\XYZ-To-Do\package.json                                                                                                                                                     | JSON               |         74 |          0 |          1 |         75 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\.well-known\assetlinks.json                                                                                                                                  | JSON               |         10 |          0 |          0 |         10 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\admin\admin.module.ts                                                                                                                                    | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\admin\license-management\license-management.component.css                                                                                                | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\admin\license-management\license-management.component.html                                                                                               | HTML               |        161 |          0 |         39 |        200 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\admin\license-management\license-management.component.spec.ts                                                                                            | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\admin\license-management\license-management.component.ts                                                                                                 | TypeScript         |         61 |          1 |         10 |         72 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\app-routing.module.ts                                                                                                                                    | TypeScript         |         95 |          2 |          5 |        102 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\app.component.css                                                                                                                                        | CSS                |         23 |          3 |          5 |         31 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\app.component.html                                                                                                                                       | HTML               |         25 |         13 |         13 |         51 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\app.component.spec.ts                                                                                                                                    | TypeScript         |         31 |          0 |          5 |         36 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\app.component.ts                                                                                                                                         | TypeScript         |         84 |         74 |         30 |        188 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\app.module.ts                                                                                                                                            | TypeScript         |         43 |          5 |          5 |         53 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\auth.module.ts                                                                                                                                      | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\change-password\change-password.component.css                                                                                                       | CSS                |         48 |          1 |          9 |         58 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\change-password\change-password.component.html                                                                                                      | HTML               |         53 |          1 |          6 |         60 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\change-password\change-password.component.spec.ts                                                                                                   | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\change-password\change-password.component.ts                                                                                                        | TypeScript         |         69 |          0 |         13 |         82 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\i-forgot-password\i-forgot-password.component.css                                                                                                   | CSS                |         48 |          1 |          8 |         57 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\i-forgot-password\i-forgot-password.component.html                                                                                                  | HTML               |         50 |          0 |         14 |         64 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\i-forgot-password\i-forgot-password.component.spec.ts                                                                                               | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\i-forgot-password\i-forgot-password.component.ts                                                                                                    | TypeScript         |         69 |          3 |         16 |         88 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\login\login.component.css                                                                                                                           | CSS                |         63 |         21 |          9 |         93 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\login\login.component.html                                                                                                                          | HTML               |         62 |          6 |         10 |         78 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\login\login.component.spec.ts                                                                                                                       | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\login\login.component.ts                                                                                                                            | TypeScript         |        183 |          5 |         26 |        214 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\register\register.component.css                                                                                                                     | CSS                |         83 |          0 |          9 |         92 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\register\register.component.html                                                                                                                    | HTML               |        216 |          3 |         39 |        258 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\register\register.component.spec.ts                                                                                                                 | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\auth\register\register.component.ts                                                                                                                      | TypeScript         |        225 |          1 |         28 |        254 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\comment\comment.module.ts                                                                                                                                | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\comment\task-comments\task-comments.component.css                                                                                                        | CSS                |        239 |         37 |         11 |        287 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\comment\task-comments\task-comments.component.html                                                                                                       | HTML               |        104 |          3 |         19 |        126 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\comment\task-comments\task-comments.component.spec.ts                                                                                                    | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\comment\task-comments\task-comments.component.ts                                                                                                         | TypeScript         |        200 |         29 |         39 |        268 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\containers\containers.component.css                                                                                                                | CSS                |        323 |          7 |         59 |        389 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\containers\containers.component.html                                                                                                               | HTML               |        114 |          1 |         28 |        143 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\containers\containers.component.spec.ts                                                                                                            | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\containers\containers.component.ts                                                                                                                 | TypeScript         |        148 |         41 |         35 |        224 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files-statistics\files-statistics.component.css                                                                                                    | CSS                |         18 |          0 |          2 |         20 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files-statistics\files-statistics.component.html                                                                                                   | HTML               |         40 |          0 |         10 |         50 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files-statistics\files-statistics.component.spec.ts                                                                                                | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files-statistics\files-statistics.component.ts                                                                                                     | TypeScript         |         45 |          0 |          7 |         52 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files.module.ts                                                                                                                                    | TypeScript         |         24 |          0 |          4 |         28 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files\files.component.css                                                                                                                          | CSS                |        474 |         16 |         61 |        551 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files\files.component.html                                                                                                                         | HTML               |        165 |          0 |         19 |        184 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files\files.component.spec.ts                                                                                                                      | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\files\files\files.component.ts                                                                                                                           | TypeScript         |        132 |         18 |         26 |        176 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\home.module.ts                                                                                                                                      | TypeScript         |         28 |          0 |          4 |         32 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\home\home.component.css                                                                                                                             | CSS                |         67 |          6 |          5 |         78 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\home\home.component.html                                                                                                                            | HTML               |         59 |          9 |         12 |         80 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\home\home.component.spec.ts                                                                                                                         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\home\home.component.ts                                                                                                                              | TypeScript         |         21 |          0 |          5 |         26 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\my-to-dos\my-to-dos.component.css                                                                                                                   | CSS                |         91 |          2 |         23 |        116 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\my-to-dos\my-to-dos.component.html                                                                                                                  | HTML               |        111 |          1 |         17 |        129 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\my-to-dos\my-to-dos.component.spec.ts                                                                                                               | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\my-to-dos\my-to-dos.component.ts                                                                                                                    | TypeScript         |        340 |         63 |         76 |        479 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\quick-to-dos\quick-to-dos.component.css                                                                                                             | CSS                |        425 |         24 |         78 |        527 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\quick-to-dos\quick-to-dos.component.html                                                                                                            | HTML               |        425 |         27 |        102 |        554 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\quick-to-dos\quick-to-dos.component.spec.ts                                                                                                         | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\home\quick-to-dos\quick-to-dos.component.ts                                                                                                              | TypeScript         |        907 |         90 |        215 |      1,212 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\about\about.component.css                                                                                                                         | CSS                |         33 |          6 |          3 |         42 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\about\about.component.html                                                                                                                        | HTML               |          9 |          1 |          9 |         19 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\about\about.component.spec.ts                                                                                                                     | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\about\about.component.ts                                                                                                                          | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\azure-sa-occupancy\azure-sa-occupancy.component.css                                                                                               | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\azure-sa-occupancy\azure-sa-occupancy.component.html                                                                                              | HTML               |          5 |          1 |          0 |          6 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\azure-sa-occupancy\azure-sa-occupancy.component.spec.ts                                                                                           | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\azure-sa-occupancy\azure-sa-occupancy.component.ts                                                                                                | TypeScript         |         40 |          0 |          9 |         49 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\member-licenses\member-licenses.component.css                                                                                                     | CSS                |         70 |          0 |          9 |         79 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\member-licenses\member-licenses.component.html                                                                                                    | HTML               |         71 |         18 |         10 |         99 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\member-licenses\member-licenses.component.spec.ts                                                                                                 | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\member-licenses\member-licenses.component.ts                                                                                                      | TypeScript         |         32 |          3 |          8 |         43 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\member.module.ts                                                                                                                                  | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\settings\settings.component.css                                                                                                                   | CSS                |        121 |          3 |         13 |        137 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\settings\settings.component.html                                                                                                                  | HTML               |        237 |         15 |         13 |        265 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\settings\settings.component.spec.ts                                                                                                               | TypeScript         |         22 |          1 |          6 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\member\settings\settings.component.ts                                                                                                                    | TypeScript         |        162 |          2 |         19 |        183 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-admin-repository.ts                                                                                                                     | TypeScript         |          7 |          0 |          5 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-auth-repository.ts                                                                                                                      | TypeScript         |         14 |          2 |          5 |         21 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-container-repository.ts                                                                                                                 | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-file-repository.ts                                                                                                                      | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-member-license-repository.ts                                                                                                            | TypeScript         |          6 |          1 |          8 |         15 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-member-repository.ts                                                                                                                    | TypeScript         |          7 |          0 |          4 |         11 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-private-talk-message-repository.ts                                                                                                      | TypeScript         |          9 |          1 |          3 |         13 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-private-talk-receiver-repository.ts                                                                                                     | TypeScript         |         12 |          2 |          9 |         23 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-private-talk-repository.ts                                                                                                              | TypeScript         |         14 |          1 |          2 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-project-repository.ts                                                                                                                   | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-project-to-do-comment-repository.ts                                                                                                     | TypeScript         |          8 |          1 |          4 |         13 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-project-to-do-repository.ts                                                                                                             | TypeScript         |          9 |          3 |          4 |         16 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-quick-to-do-comment-repository.ts                                                                                                       | TypeScript         |          8 |          1 |          4 |         13 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-quick-to-do-repository.ts                                                                                                               | TypeScript         |          9 |          3 |          3 |         15 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-team-member-repository.ts                                                                                                               | TypeScript         |         15 |          1 |          6 |         22 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\abstract\i-team-repository.ts                                                                                                                      | TypeScript         |         10 |          2 |          6 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\azure-models\cloud-container.model.ts                                                                                                              | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\azure-models\cloud-containers.model.ts                                                                                                             | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\azure-models\cloud-file.model.ts                                                                                                                   | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\azure-models\cloud-files.model.ts                                                                                                                  | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\comment-count.model.ts                                                                                                                             | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\login.model.ts                                                                                                                                     | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\member-license-sm.model.ts                                                                                                                         | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\member-license-used-storage.model.ts                                                                                                               | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\member-license.model.ts                                                                                                                            | TypeScript         |         17 |          5 |          7 |         29 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\member-setting.model.ts                                                                                                                            | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\member-shared.model.ts                                                                                                                             | TypeScript         |         43 |         28 |         21 |         92 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\member.model.ts                                                                                                                                    | TypeScript         |         15 |          0 |          6 |         21 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\message-count.model.ts                                                                                                                             | TypeScript         |          7 |          0 |          3 |         10 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\model.module.ts                                                                                                                                    | TypeScript         |        111 |          0 |         14 |        125 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\notification-services\notification.service.spec.ts                                                                                                 | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\notification-services\notification.service.ts                                                                                                      | TypeScript         |        248 |         32 |         64 |        344 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\private-talk-inside-out.model.ts                                                                                                                   | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\private-talk-last-seen.model.ts                                                                                                                    | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\private-talk-message.model.ts                                                                                                                      | TypeScript         |         11 |          0 |          4 |         15 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\private-talk-receiver.model.ts                                                                                                                     | TypeScript         |          7 |          0 |          0 |          7 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\private-talk-team-receiver.model.ts                                                                                                                | TypeScript         |          7 |          0 |          1 |          8 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\private-talk.model.ts                                                                                                                              | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\project-order.model.ts                                                                                                                             | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\project-task-comment.model.ts                                                                                                                      | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\project-task.model.ts                                                                                                                              | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\project.model.ts                                                                                                                                   | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\quick-task-comment.model.ts                                                                                                                        | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\quick-task.model.ts                                                                                                                                | TypeScript         |         17 |          0 |          1 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\register.model.ts                                                                                                                                  | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\admin-repository.ts                                                                                                                     | TypeScript         |         34 |          1 |         10 |         45 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\auth-repository.ts                                                                                                                      | TypeScript         |         31 |          2 |         11 |         44 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\container-repository.ts                                                                                                                 | TypeScript         |         85 |         26 |         28 |        139 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\file-repository.ts                                                                                                                      | TypeScript         |        119 |         23 |         32 |        174 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\member-license-repository.ts                                                                                                            | TypeScript         |         53 |          1 |         17 |         71 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\member-repository.ts                                                                                                                    | TypeScript         |         24 |          0 |          3 |         27 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\private-talk-message-repository.ts                                                                                                      | TypeScript         |         91 |         18 |         26 |        135 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\private-talk-receiver-repository.ts                                                                                                     | TypeScript         |         83 |          7 |         32 |        122 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\private-talk-repository.ts                                                                                                              | TypeScript         |        295 |         38 |         96 |        429 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\project-repository.ts                                                                                                                   | TypeScript         |        165 |         26 |         43 |        234 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\project-to-do-comment-repository.ts                                                                                                     | TypeScript         |         75 |          9 |         13 |         97 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\project-to-do-repository.ts                                                                                                             | TypeScript         |        335 |         31 |         93 |        459 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\quick-to-do-comment-repository.ts                                                                                                       | TypeScript         |         75 |         12 |         18 |        105 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\quick-to-do-repository.ts                                                                                                               | TypeScript         |        316 |         37 |         72 |        425 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\team-member-repository.ts                                                                                                               | TypeScript         |        275 |         35 |         72 |        382 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\repository\team-repository.ts                                                                                                                      | TypeScript         |        100 |          4 |         10 |        114 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\container-files-resolver.service.ts                                                                                                      | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\containers-resolver.service.ts                                                                                                           | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\my-projects-resolver.service.ts                                                                                                          | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\my-teams-resolver.service.ts                                                                                                             | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\project-to-dos-comments-count-resolver.service.ts                                                                                        | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\project-to-dos-resolver.service.ts                                                                                                       | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\projects-assigned-resolver.service.ts                                                                                                    | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\resolvers\team-member-resolver.service.ts                                                                                                          | TypeScript         |         15 |          0 |          2 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\return.model.ts                                                                                                                                    | TypeScript         |          6 |          0 |          4 |         10 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\security-code.model.ts                                                                                                                             | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\auth.service.spec.ts                                                                                                                      | TypeScript         |          9 |          0 |          4 |         13 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\auth.service.ts                                                                                                                           | TypeScript         |         94 |         23 |         13 |        130 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\crypto-helpers.service.spec.ts                                                                                                            | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\crypto-helpers.service.ts                                                                                                                 | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\files.service.spec.ts                                                                                                                     | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\files.service.ts                                                                                                                          | TypeScript         |         64 |          0 |          8 |         72 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\auth-guard-admin.service.spec.ts                                                                                                   | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\auth-guard-admin.service.ts                                                                                                        | TypeScript         |         15 |          0 |          6 |         21 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\auth-guard.service.spec.ts                                                                                                         | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\auth-guard.service.ts                                                                                                              | TypeScript         |         21 |          8 |          9 |         38 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\private-talk-messages-guard.service.spec.ts                                                                                        | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\private-talk-messages-guard.service.ts                                                                                             | TypeScript         |         24 |          1 |          9 |         34 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\project-to-dos-guard.service.spec.ts                                                                                               | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\project-to-dos-guard.service.ts                                                                                                    | TypeScript         |         38 |         15 |         12 |         65 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\projects-first-guard.service.spec.ts                                                                                               | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\projects-first-guard.service.ts                                                                                                    | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\save-last-seen-guard.service.spec.ts                                                                                               | TypeScript         |         12 |          1 |          4 |         17 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\save-last-seen-guard.service.ts                                                                                                    | TypeScript         |         17 |          3 |          5 |         25 |
| c:\Users\tadak\source\repos\XYZ-To-Do\src\app\model\services\guards\team-members-guard.service.spec.ts                                                                                                 | TypeScript         |         12 |          1 |          4 |         17 |
