filename, language, JSON, Properties, XML, Markdown, C#, JSON with Comments, JavaScript, HTML, TypeScript, CSS, SQL, SCSS, Batch, comment, blank, total
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\ConfigurationHelpers.cs, C#, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 90, 29, 139
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\ConnectionMapping.cs, C#, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 84
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\CryptoHelpers.cs, C#, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 77
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\CustomUserIdProvider.cs, C#, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\ErrorCodes.cs, C#, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\JWTHelpers.cs, C#, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 71
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\Middlewares\WebSocketsMiddleware.cs, C#, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 34
c:\Users\tadak\source\repos\XYZ-To-Do\Infrastructure\PrivacyModes.cs, C#, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IAuthRepository.cs, C#, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
c:\Users\tadak\source\repos\XYZ-To-Do\Models\Abstract\IMemberLicenseRepository.cs, C#, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 32
